Aardbeving_Plaats|Aardbeving_Datum|Aardbeving_Magnitude|Aardbeving_Diepte_km|Straal_km|Monumentnummer|Monument_Naam|Monument_Type|Functie_Oorspronkelijk|Functie_Huidig|Afstand_tot_epicentrum_km|Impactindicatie|Effectgebied|Versterkingsprogramma|Monumentenregister_URL|Linked_data_URI
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|510967||onroerend gebouwd|Boerderij||0.3|0.1|binnen indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/510967|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/49403
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|510966||onroerend gebouwd|Pastorie||0.5|0.1|binnen indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/510966|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26782
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|14963||onroerend gebouwd|Kerk||0.6|0.1|binnen indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/14963|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40429
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|14960||onroerend gebouwd|Molen||1.8|-0.1|buiten indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/14960|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55291
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|510957|H. Willehadus|onroerend gebouwd|Kerk||2.1|-0.1|buiten indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/510957|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28951
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|520956||onroerend gebouwd|Sluiswachterswoning|Woonhuis|3.2|-0.3|buiten indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/520956|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21330
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|510958||onroerend gebouwd|Smederij||3.3|-0.3|buiten indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/510958|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17578
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|37458||onroerend gebouwd|Voorwerk||3.5|-0.4|buiten indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/37458|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40432
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|520953|Banketbakkerij Bos|onroerend gebouwd|Winkelwoning||4.7|-0.5|buiten indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/520953|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11889
Roswinkel|2006-03-25T13:55:51Z|1.7|2|25|520952||onroerend gebouwd|Bankgebouw|Praktijkwoning|4.7|-0.5|buiten indicatief effectgebied|nee|https://monumentenregister.cultureelerfgoed.nl/monumenten/520952|https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10181
